,tconst,averageRating,numVotes
133229,tt0203940,3.9,3128
133238,tt0203952,4.7,151
133247,tt0203975,4.7,3408
133326,tt0204137,6.6,14189
133345,tt0204175,5.4,17281
133379,tt0204250,2.1,698
133406,tt0204313,5.1,38067
133411,tt0204322,5.1,997
133424,tt0204350,4.9,1369
133425,tt0204352,6.7,94
133436,tt0204382,7.2,33
133545,tt0204619,4.7,81
133550,tt0204626,5.3,27994
133557,tt0204640,6.7,3383
133581,tt0204679,7.4,17
133591,tt0204698,7.4,44
133592,tt0204700,5.9,8787
133624,tt0204761,5.6,1960
133687,tt0204885,5.6,93
133708,tt0204932,7.3,4219
133709,tt0204933,4.5,165
133712,tt0204946,6.1,101165
133807,tt0205177,5.6,14184
133843,tt0205271,4.7,19989
133879,tt0205380,4.2,183
133895,tt0205418,2.9,2850
133915,tt0205461,4.2,4596
133931,tt0205498,6.0,221
133941,tt0205526,3.6,181
134003,tt0205729,3.8,56
134010,tt0205738,6.6,520
134025,tt0205778,6.6,82
134065,tt0205873,7.2,16787
134095,tt0205936,5.2,246
134158,tt0206075,3.4,605
134163,tt0206088,6.2,344
134168,tt0206098,6.9,68
134175,tt0206113,6.3,1509
134211,tt0206184,5.0,304
134213,tt0206187,6.8,837
134226,tt0206211,7.6,10
134234,tt0206223,4.3,145
134236,tt0206226,6.0,6403
134259,tt0206275,6.2,64360
134281,tt0206314,6.6,72967
134308,tt0206367,5.0,1242
134335,tt0206420,5.3,10774
134388,tt0206545,7.3,62
134423,tt0206608,6.2,191
134437,tt0206634,7.9,513833
134462,tt0206694,6.7,48
134485,tt0206742,6.4,2126
134497,tt0206762,6.3,1496
134505,tt0206778,6.5,68
134533,tt0206836,7.3,20
134580,tt0206917,6.1,16100
134587,tt0206926,5.6,6017
134607,tt0206963,7.2,5777
134647,tt0207036,5.1,681
134707,tt0207161,5.7,1462
134708,tt0207163,6.3,495
134728,tt0207198,6.8,3720
134730,tt0207201,6.4,215079
134796,tt0207333,5.1,881
134800,tt0207337,4.7,31
134831,tt0207377,4.6,911
134893,tt0207501,4.2,46
134903,tt0207524,6.8,3612
134937,tt0207585,5.9,742
134956,tt0207631,4.4,686
134957,tt0207635,6.5,62
134959,tt0207638,5.6,133
135006,tt0207745,4.6,258
135100,tt0207988,6.0,419
135110,tt0208003,5.2,88509
135116,tt0208017,7.8,45
135130,tt0208037,4.7,437
135136,tt0208050,5.6,401
135157,tt0208092,8.2,878904
135213,tt0208196,7.2,10065
135216,tt0208204,4.7,126
135252,tt0208298,7.1,1682
135303,tt0208412,6.8,34
135344,tt0208491,4.6,777
135501,tt0208866,6.8,44
135503,tt0208870,4.1,144
135506,tt0208874,6.9,24647
135510,tt0208883,6.0,105
135514,tt0208889,6.7,88
135519,tt0208899,5.5,182
135523,tt0208910,8.0,23
135524,tt0208911,6.3,1971
135542,tt0208942,4.3,182
135555,tt0208988,5.1,35663
135556,tt0208990,7.3,20917
135558,tt0208993,6.9,1535
135578,tt0209020,4.4,77
135585,tt0209037,6.9,3304
135607,tt0209077,5.8,30357
135626,tt0209109,4.9,691
135644,tt0209144,8.4,1271576
135650,tt0209163,6.4,336735
135657,tt0209180,8.1,4865
135697,tt0209253,4.2,78
135712,tt0209279,5.4,179
135730,tt0209322,6.3,3533
135804,tt0209475,5.3,83945
135807,tt0209486,4.9,486
135979,tt0209941,6.2,89
135987,tt0209958,6.4,106109
136037,tt0210065,6.7,14311
136040,tt0210070,6.8,49764
136043,tt0210075,6.7,11239
136051,tt0210094,5.4,2816
136066,tt0210130,7.8,68
136078,tt0210149,6.0,726
136115,tt0210223,4.8,228
136142,tt0210299,7.3,3622
136172,tt0210357,6.6,261
136173,tt0210358,6.5,7223
136176,tt0210362,5.9,284
136188,tt0210382,5.8,9869
136242,tt0210470,6.6,68
136286,tt0210567,5.6,4218
136294,tt0210584,6.2,2448
136312,tt0210616,6.7,22279
136393,tt0210756,6.0,438
136400,tt0210776,6.1,41
136401,tt0210777,7.9,215
136415,tt0210816,4.8,194
136476,tt0210930,5.3,241
136487,tt0210945,7.8,223757
136491,tt0210952,5.8,97
136492,tt0210953,5.4,346
136616,tt0211181,4.8,38708
136658,tt0211279,7.6,22
136667,tt0211296,6.8,33
136674,tt0211309,6.5,483
136719,tt0211387,6.7,6745
136737,tt0211423,7.1,21
136748,tt0211436,4.0,8
136749,tt0211443,4.4,59039
136761,tt0211465,6.1,24481
136774,tt0211492,6.8,4607
136847,tt0211645,8.3,51
136854,tt0211661,6.0,1848
136882,tt0211718,7.3,2934
137005,tt0211915,8.3,772984
137006,tt0211919,6.2,165
137012,tt0211933,6.5,77684
137016,tt0211938,5.7,12889
137018,tt0211941,5.5,1588
137022,tt0211946,7.2,14947
137052,tt0212048,4.4,324
137059,tt0212059,5.0,174
137094,tt0212132,7.3,3195
137122,tt0212215,6.1,265
137144,tt0212271,4.2,234
137153,tt0212292,6.8,227
